"岗位","公司","学历","公司性质","薪资","学历要求","工作经验","公司规模","公司类型","公司福利"
"职位","公司","地点","公司性质","薪资","学历要求","工作经验","公司规模","公司类型","公司福利"
"Python开发工程师-CDN","华为技术有限公司","本科","民营公司","1.8-3.5万/月","1年经验",,"10000人以上","通信/电信运营、增值服务 通信/电信/网络设备","五险一金-通讯补贴-专业培训-绩效奖金-定期体检"
"Python开发工程师","北京点点智联科技有限公司","大专","创业公司","0.6-1.2万/月","1年经验",,"50-150人","计算机软件 通信/电信/网络设备","双休-定期体检-生日节日福利-项目绩效奖金-每年多次调薪-带薪培训-带薪年假"
"Python开发工程师","广东甜秘密寝具有限公司","本科","民营公司","5-6千/月","1年经验",,"500-1000人","互联网/电子商务 家具/家电/玩具/礼品","带薪年假-全勤奖-节日福利-专业培训-员工旅游-出国机会-年终奖金-员工体检"
"Python开发工程师","南京市斑马鱼数字智能科技有限责任公司","本科","民营公司","1-1.5万/月","1年经验",,"少于50人","计算机软件","弹性工作-定期体检-年终奖金-意外保险-五险一金"
"Python开发工程师","壹沓科技（上海）有限公司","本科","民营公司","2.5-5万/月","3-4年经验",,"计算机软件",,
"Python开发工程师","新电信息科技（成都）有限公司","本科","外资（非欧美）","0.9-1.4万/月","3-4年经验",,"500-1000人","计算机软件","做五休二-周末双休-带薪年假-五险一金-专业培训-绩效奖金"
"Python开发工程师","大连亿达信息技术有限公司深圳分公司","大专","民营公司","1.4-2万/月","3-4年经验",,"500-1000人","计算机软件 计算机服务(系统、数据服务、维修)","六险一金-年终奖金-定期体检-节假日福利"
"Python开发工程师/薪资福利好","深圳市闪易云科技有限公司","本科","民营公司","1.5-2万/月","2年经验",,"计算机软件",,"五险一金-节日福利-周末双休-朝九晚六"
"Python研发工程师","湖南华航数智科技有限公司","本科","民营公司","1.5-2.5万/月","2年经验",,"50-150人","计算机软件 通信/电信运营、增值服务","五险一金-专业培训-弹性工作-员工旅游-年终奖金"
"Python开发","广州鑫尼网络科技有限公司","大专","外资（非欧美）","0.8-1万/月","2年经验",,"50-150人","互联网/电子商务 贸易/进出口","带薪年假-五险一金-绩效奖金-节日福利-专业培训-下午茶"
"Python开发工程师","杭州漠坦尼科技有限公司","本科","民营公司","1.2-1.7万/月","1年经验",,"50-150人","计算机软件","五险一金-餐饮补贴-通讯补贴-年终奖金-定期体检"
"Python 开发工程师（急聘）","百令信息科技（上海）有限公司","本科","民营公司","1-1.5万/月","1年经验","英语良好","50-150人","互联网/电子商务 贸易/进出口","五险一金-年终奖金-员工旅游-专业培训-不加班-不出差-半年度奖金-节日福利-带薪年假"
"高级Python开发工程师","广州智算信息技术有限公司","本科","民营公司","1.2-2.2万/月","3-4年经验",,"150-500人","计算机软件 互联网/电子商务","五险一金-专业培训-定期体检-职位升迁-项目奖励-工作氛围好-员工旅游"
"Python开发工程师","重庆麻爪爪餐饮管理有限公司","本科","民营公司","0.8-1.2万/月","2年经验",,"150-500人","餐饮业","全勤奖-专业培训-通讯补贴-五险一金-绩效奖金"
"Python开发工程师","安全可信（深圳）科技集团有限公司","本科","民营公司","1-2万/月","1年经验",,"少于50人","互联网/电子商务",
"Python开发工程师","空间视创（重庆）科技股份有限公司","本科","民营公司","5-8千/月","2年经验",,"50-150人","互联网/电子商务 计算机软件","五险一金-周末双休-法定节假日-餐饮补贴"
"Python开发工程师","郑州易宝软件科技有限公司","本科","民营公司","1-1.8万/月","1年经验",,"150-500人","计算机软件",
"python开发工程师","执鼎医疗科技（杭州）有限公司","本科","民营公司","1.3-2万/月","5-7年经验",,"50-150人","医疗设备/器械","交通补贴-定期体检-五险一金-年终奖金-专业培训-餐饮补贴"
"Python开发工程师","南京道熵信息技术有限公司","本科","民营公司","0.8-1.5万/月","1年经验",,"少于50人","计算机软件","五险一金-交通补贴-餐饮补贴-绩效奖金-年终奖金-定期体检"
"（产研二部）资深python后端工程师","浙江木链物联网科技有限公司","本科","民营公司","2.1-3万/月","3-4年经验",,"150-500人","计算机软件 计算机硬件","五险一金-专业培训-绩效奖金-年终奖金"
